Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Job Security,Work Life Balance,Work Satisfaction,Promotions
Mphasis,IT Services & Consulting,Bangalore,64,54,10000,3.3,Medium,Medium,Low,Low
Yes Bank,Banking,Mumbai,539,142,9900,3.6,Low,Medium,Medium,Low
Tata Steel,Iron & Steel,Jamshedpur,230,0,9700,4.0,High,High,Medium,Low
Quess,Recruitment,Bangalore,742,25,9500,3.8,Low,Medium,Medium,Low
Maruti Suzuki,Automobile,Gurgaon,452,713,9400,4.2,High,Medium,Medium,Medium
Asian Paints,Chemicals,Mumbai,550,65,9300,4.0,High,Medium,Medium,Low
Startek,BPO,Bangalore,106,123,9300,3.1,Medium,Medium,Low,Low
UltraTech Cement,Building Material,Mumbai,535,33,9200,4.1,High,Medium,Medium,Low
Paytm,FinTech,Noida,419,387,9200,3.2,Low,Medium,Medium,Low
Shriram Finance,NBFC,Chennai,1112,5,8900,4.0,High,High,Medium,Low
Bajaj Finance,NBFC,Pune,972,7100,8900,3.9,High,Medium,Medium,Medium
Equitas Small Finance Bank,Banking,Chennai,481,22,8700,4.4,High,High,Medium,Medium
Sutherland Global Services,BPO,Chennai,82,190,8700,3.4,Medium,Medium,Low,Low
EXL Service,Analytics & KPO,Noida,63,1500,8400,3.6,High,Medium,Medium,Low
Cipla,Pharma,Mumbai,293,63,8400,4.1,Medium,High,Medium,Medium
Ericsson,Telecom,Noida,164,86,8300,3.9,Medium,High,Medium,Low
Wells Fargo,Financial Services,Bangalore,28,147,8300,3.7,Medium,High,Low,Low
Samsung,Consumer Electronics & Appliances,Noida,582,19,8300,3.9,Medium,High,Medium,Low
Dr. Reddy's,Pharma,Hyderabad,216,11,8100,4.0,Medium,High,Medium,Low
Optum Global Solutions,IT Services & Consulting,Hyderabad,69,126,7700,4.0,High,High,Medium,Low
Delhivery,Logistics,Gurgaon,755,192,7600,3.8,Medium,Medium,Medium,Low
ICICI Prudential Life Insurance,Insurance,Mumbai,506,633,7600,4.0,High,Medium,Medium,Medium
JSW Steel,Iron & Steel,Ballari,194,112,7600,3.9,High,Medium,Medium,Low
JPMorgan Chase & Co.,Financial Services,Bangalore,56,771,7600,3.8,High,Medium,Medium,Low
HGS,BPO,Bangalore,122,19,7500,3.7,High,Medium,Medium,Low
Jana Small Finance Bank,Banking,Bangalore,419,36,7500,3.8,Medium,Medium,Medium,Low
Ujjivan Small Finance Bank,Banking,Bangalore,534,210,7400,4.0,High,High,Medium,Medium
Sun Pharmaceutical Industries,Pharma,Vadodara,266,336,7400,4.1,High,Medium,Medium,Medium
Hexaware Technologies,IT Services & Consulting,Chennai,70,665,7400,3.4,Medium,Medium,Low,Low
Amazon Development Centre India,Internet,Hyderabad,147,8,7400,3.8,Medium,High,Medium,Low
Lupin,Pharma,Pune,202,36,7200,4.1,Medium,High,Medium,Low
L&T Construction,Engineering & Construction,Chennai,434,0,7200,4.0,High,Medium,Medium,Low
Ekart Logistics,Logistics,Bangalore,742,0,7200,3.9,Medium,Medium,Medium,Low
Zydus Lifesciences,Pharma,Ahmedabad,177,29,7200,3.9,Medium,Medium,Medium,Medium
Hindustan Unilever,FMCG,Mumbai,534,43,7100,4.2,Medium,High,Medium,Low
KPMG India,Management Consulting,Bangalore,113,65,7000,3.4,Medium,Low,Low,Low
ITC,FMCG,Bangalore,377,74,7000,3.9,High,Medium,Medium,Low
Axis Max Life Insurance,Insurance,New Delhi,496,129,6900,4.0,Medium,High,Medium,Medium
Megha Engineering & Infrastructures,Engineering & Construction,Hyderabad,407,40,6800,3.9,Medium,Medium,Medium,Low
Tata Projects,Engineering & Construction,Mumbai,287,22,6700,4.2,Medium,High,Medium,Medium
Coforge,IT Services & Consulting,Noida,104,123,6500,3.2,Medium,Medium,Low,Low
FIS,FinTech,Pune,62,122,6400,3.8,Medium,High,Medium,Low
Bajaj Life Insurance,Insurance,Pune,610,57,6400,3.9,Medium,Medium,Medium,Medium
L&T Technology Services,IT Services & Consulting,Bangalore,94,0,6400,3.1,Medium,Medium,Low,Low
Cholamandalam Investment & Finance,Financial Services,Chennai,844,16,6400,3.8,Medium,Medium,Medium,Low
IIFL Finance,NBFC,Mumbai,803,70,6200,4.0,High,High,Medium,Medium
Oracle,Software Product,Bangalore,57,1000,6200,3.5,Medium,High,Low,Low
Muthoot Finance,NBFC,Bangalore,785,87,6200,3.7,Medium,Medium,Low,Low
Indian Army,Defence & Aerospace,New Delhi,365,0,6200,4.7,High,High,Medium,Medium
Omega Healthcare,BPO,Chennai,70,103,6200,3.8,Medium,Medium,Medium,Low
JLL,Real Estate,Gurgaon,85,221,6200,4.1,High,High,Medium,Low
eClerx,IT Services & Consulting,Pune,33,197,6100,3.1,Medium,Medium,Low,Low
HCL Group,IT Services & Consulting,Chennai,98,0,6100,3.5,Medium,Medium,Medium,Low
Piramal Finance,NBFC,Mumbai,424,6,6000,4.2,Medium,High,Medium,Medium
Virtusa Consulting Services,IT Services & Consulting,Hyderabad,56,1400,6000,3.7,Low,Medium,Low,Low
DMart,Retail,Mumbai,248,205,5900,3.9,High,Medium,Medium,Low
Indiamart Intermesh,Internet,Noida,174,552,5800,3.5,Medium,Medium,Low,Low
HSBC Group,Financial Services,Bangalore,64,132,5800,3.9,High,High,Medium,Low
SMFG India Credit,NBFC,Mumbai,596,76,5800,3.9,Medium,Medium,Medium,Low
Udaan,Internet,Bangalore,369,5,5700,3.9,Low,Medium,Medium,Low
Aurobindo Pharma,Pharma,Hyderabad,116,13,5700,4.0,High,High,Medium,Low
Access Healthcare,BPO,Chennai,65,552,5700,3.7,High,Medium,Medium,Low
Siemens,Industrial Automation,Bangalore,153,802,5700,3.9,High,High,Medium,Low
BigBasket,Internet,Bangalore,141,85,5700,3.9,High,Medium,Medium,Low
PolicyBazaar,Internet,Gurgaon,150,474,5600,3.7,Medium,Low,Low,Medium
Manappuram Finance,NBFC,Bangalore,651,3,5600,3.9,Medium,High,Medium,High
ICICI Lombard General Insurance Company,Insurance,Mumbai,314,183,5600,3.5,Medium,Medium,Low,Low
Tata Capital,NBFC,Mumbai,440,3400,5600,4.0,High,High,Medium,Low
Firstsource Solutions,BPO,Bangalore,75,138,5600,3.5,Medium,Medium,Low,Low
Shapoorji Pallonji Group,Engineering & Construction,Mumbai,190,79,5600,4.1,High,High,Medium,Low
GlobalLogic,IT Services & Consulting,Hyderabad,61,47,5600,3.5,Medium,Medium,Low,Low
Standard Chartered,Banking,Chennai,69,0,5600,3.6,Medium,Medium,Low,Low
Mahindra Finance,NBFC,Mumbai,731,435,5500,3.9,Medium,Medium,Medium,Low
Apollo Hospitals,Healthcare,Chennai,230,148,5500,4.1,High,Medium,Medium,Low
Bosch Global Software Technologies,IT Services & Consulting,Bangalore,48,21,5500,3.7,High,High,Low,Low
UST,IT Services & Consulting,Bangalore,52,131,5500,3.7,Low,High,Medium,Low
Ashok Leyland,Automobile,Chennai,261,0,5500,4.0,Medium,High,Medium,Low
Swiggy,Internet,Bangalore,230,253,5400,3.7,Low,Medium,Low,Low
Citicorp,Financial Services,Pune,69,0,5400,3.7,Medium,Medium,Low,Low
Hero MotoCorp,Automobile,Gurgaon,366,2,5300,4.1,Medium,High,High,Low
CGI Group,IT Services & Consulting,Bangalore,44,674,5300,4.0,High,High,Medium,Low
Cyient,IT Services & Consulting,Hyderabad,49,79,5300,3.6,Medium,Medium,Medium,Low
SBI Cards & Payment Services,Financial Services,Gurgaon,437,98,5200,3.6,Medium,Medium,Low,Low
Kalpataru Projects International,Engineering & Construction,Mumbai,322,1,5100,4.2,High,Medium,Medium,Medium
BNY,Financial Services,Pune,26,2,5100,3.6,Low,High,Low,Low
JustDial,Internet,Noida,230,53,5100,3.5,Low,Medium,Low,Low
IQVIA,Clinical Research,Bangalore,66,25,5100,3.7,High,Medium,Medium,Low
NTT Data,IT Services & Consulting,Bangalore,81,190,5000,3.8,Medium,High,Medium,Low
Nagarjuna Construction Company,Engineering & Construction,Hyderabad,297,11,5000,4.0,High,High,Medium,Medium
SBI Life Insurance Company,Insurance,Mumbai,657,8,5000,3.7,High,Low,Low,Low
CBRE,Real Estate,Hyderabad,92,24,5000,4.1,High,High,Medium,Medium
TVS Motor,Automobile,Hosur,350,70,5000,3.9,High,Medium,Medium,Low
Schneider Electric,Industrial Automation,Bangalore,120,25,5000,4.2,High,High,Medium,Low
Persistent Systems,IT Services & Consulting,Pune,42,248,4900,3.6,Low,Medium,Low,Low
State Bank of India,Banking,Mumbai,619,15,4900,3.8,High,Medium,Medium,Medium
vivo,Consumer Electronics & Appliances,Noida,415,11,4900,4.1,Medium,High,Medium,Low
Atos,IT Services & Consulting,Pune,50,90,4900,3.8,Medium,High,Medium,Low
Ecom Express,Logistics,Gurgaon,776,0,4800,4.0,Medium,High,High,Medium
KEC International,Engineering & Construction,Mumbai,315,9,4800,4.0,High,Medium,Medium,Low
Eviden,IT Services & Consulting,Pune,40,8,4800,3.6,Medium,High,Low,Low
Amdocs,Software Product,Pune,24,11,4700,3.6,Low,Medium,Low,Low
JBM Group,Auto Components,Gurgaon,118,43,4700,3.9,High,Medium,Medium,Low
Varun Beverages,Beverage,New Delhi,380,30,4700,4.0,High,High,Medium,Low
Nagarro,IT Services & Consulting,Gurgaon,50,923,4700,3.9,Medium,High,Medium,Low
ITC Infotech,IT Services & Consulting,Bangalore,68,71,4700,3.7,High,High,Medium,Low
Home Credit Finance,NBFC,Gurgaon,137,83,4600,4.0,Medium,High,Medium,Medium
Bosch,Auto Components,Bangalore,132,0,4600,4.1,Medium,High,Medium,Low
EY Global Delivery Services ( EY GDS),IT Services & Consulting,Bangalore,57,10,4500,3.5,High,Low,Low,Low
Randstad,Recruitment,Hyderabad,354,8,4500,3.7,Low,Medium,Medium,Low
Hewlett Packard Enterprise,IT Services & Consulting,Bangalore,105,231,4500,4.1,Medium,High,High,Low
Utkarsh Small Finance Bank,Banking,Varanasi,409,22,4500,3.6,Medium,Medium,Low,Low
Aditya Birla Fashion and Retail,Fashion & Textile,Bangalore,292,75,4500,4.1,High,Medium,Medium,Medium
Mahindra Logistics,Logistics,Mumbai,234,0,4500,3.7,Medium,Medium,Medium,Low
L&T Finance,NBFC,Mumbai,635,0,4500,3.9,High,Medium,Medium,Low
CARS24,Internet,Gurgaon,173,109,4500,3.4,Low,Medium,Medium,Low
Dell,Consumer Electronics & Appliances,Bangalore,118,17,4500,3.8,Low,High,Medium,Low
OPPO,Consumer Electronics & Appliances,Greater Noida,411,6,4500,3.9,Low,Medium,Medium,Low
Havells,Electrical Equipment,Noida,262,33,4500,3.9,Medium,High,Medium,Low
Intas Pharmaceuticals,Pharma,Ahmedabad,149,57,4400,4.1,High,High,Medium,Medium
R1 RCM,BPO,New Delhi,47,164,4400,3.8,High,Medium,Medium,Low
Tata AIA Life Insurance,Insurance,Mumbai,442,638,4400,3.9,High,Medium,Medium,Medium
Hyundai Motor India Limited,Automobile,Chennai,288,4,4400,4.1,High,Medium,Medium,Medium
Deutsche Bank,Banking,Pune,43,371,4300,3.8,High,High,Medium,Low
Hetero,Pharma,Hyderabad,69,142,4300,3.9,High,High,Medium,Low
Motilal Oswal Financial Services,Financial Services,Mumbai,169,42,4300,3.7,Medium,Low,Low,Low
Berger Paints,Chemicals,Kolkata,355,122,4300,3.7,Medium,Low,Medium,Low
Team Lease,Recruitment,Bangalore,400,2,4300,3.9,Medium,High,Medium,Low
VE Commercial Vehicles,Automobile,Indore,180,5,4200,3.9,High,Medium,Medium,Low
Lenskart,Internet,New Delhi,240,116,4200,3.3,Medium,Low,Medium,Low
Thermax Limited,Industrial Machinery,Pune,253,84,4200,4.2,High,Medium,Medium,Medium
Bajaj Auto,Automobile,Pune,320,0,4100,3.8,Medium,Medium,Medium,Low
Macleods Pharmaceuticals,Pharma,Mumbai,135,6,4100,3.7,High,Medium,Medium,Low
Kogta Financial India Limited,NBFC,Jaipur,260,112,4100,4.7,Medium,High,High,Medium
Aakash Educational Services,Education & Training,New Delhi,245,64,4100,3.2,Low,Low,Medium,Low
Jubilant Foods Works,Hospitality,New Delhi,263,200,4100,3.7,Medium,Medium,Medium,Low
LG Electronics,Consumer Electronics & Appliances,Pune,299,0,4100,3.9,High,Medium,Medium,Low
Royal Enfield,Automobile,Chennai,373,17,4000,4.2,Medium,High,Medium,Low
Hindalco Industries,Metals & Mining,Sambalpur,129,10,4000,4.2,High,High,Medium,Medium
Jindal Steel Limited,Iron & Steel,Angul,175,27,4000,3.9,Medium,Medium,Medium,Low
John Deere,Industrial Machinery,Pune,157,1,4000,4.0,Medium,High,Medium,Low
Tata Communications,Telecom,Pune,103,215,4000,3.9,High,High,Medium,Low
DCB Bank,Banking,Mumbai,343,7,4000,3.8,Medium,High,Medium,Low
HDFC Ergo General Insurance,Insurance,Mumbai,327,10,4000,4.0,High,High,Medium,Low
State Street Corporation,Financial Services,Bangalore,36,8,4000,3.5,Medium,Medium,Medium,Low
RBL Bank,Banking,Mumbai,285,53,3900,3.5,Medium,Medium,Low,Low
Cummins,Industrial Machinery,Pune,116,9,3900,4.3,Medium,High,High,Medium
Oyo Rooms,Internet,Gurgaon,123,119,3900,3.1,Low,Low,Medium,Medium
Pidilite Industries,Chemicals,Mumbai,315,3,3800,4.2,High,High,Medium,Low
Alembic Pharmaceuticals,Pharma,Vadodara,188,64,3800,3.9,Medium,High,Medium,Medium
Bank of America,Banking,Gurgaon,36,0,3800,4.1,High,High,Medium,Low
Reliance Communications,Telecom,Mumbai,469,0,3800,4.0,Medium,High,Medium,Low
Publicis Sapient,IT Services & Consulting,Bangalore,47,265,3800,3.4,Low,Medium,Low,Low
Carelon Global Solutions,IT Services & Consulting,Bangalore,22,26,3800,3.9,High,High,Medium,Low
Subros,Auto Components,Noida,90,1,3800,3.8,High,Medium,Medium,Low
American Express,Financial Services,Gurgaon,54,104,3800,4.1,High,High,Medium,Low
Viatris,Pharma,Hyderabad,81,3,3800,4.1,High,High,Medium,Medium
XpressBees,Logistics,Pune,477,11,3800,4.2,Medium,High,High,Medium
PVR INOX,Media & Entertainment,New Delhi,150,20,3800,3.9,High,Medium,Medium,Low
Automatic Data Processing (ADP),Software Product,Hyderabad,41,44,3700,3.9,High,High,Medium,Low
PNB MetLife,Insurance,New Delhi,427,5,3700,3.4,Low,Medium,Low,Medium
Escorts Kubota Limited,Automobile,Faridabad,155,5,3700,4.1,Medium,High,Medium,Low
Aditya Birla Sun Life Insurance,Insurance,Mumbai,489,0,3700,4.0,High,High,Medium,Medium
Grasim Industries,Building Material,Bharuch,243,4,3700,4.0,High,Medium,Medium,Low
Kyndryl,IT Services & Consulting,Bangalore,38,29,3700,3.9,Medium,High,Medium,Low
Aditya Birla Capital,NBFC,Mumbai,340,3,3700,3.8,Medium,High,Medium,Low
Maersk,Logistics,Chennai,50,34,3700,4.0,Medium,High,Medium,Low
Altruist Technologies,BPO,Bangalore,45,9,3700,4.4,Medium,High,High,Medium
Synechron,IT Services & Consulting,Pune,33,83,3600,3.4,Low,Medium,Low,Low
Glenmark Pharmaceuticals,Pharma,Mumbai,186,123,3600,3.8,Medium,Medium,Medium,Low
Birlasoft,IT Services & Consulting,Pune,51,506,3600,3.5,Medium,Medium,Low,Low
KPIT Technologies,Software Product,Pune,45,37,3600,3.0,Low,Medium,Low,Low
Dabur,FMCG,New Delhi,321,16,3600,3.8,Medium,Medium,Medium,Low
Kotak Mahindara Life Insurance,Insurance,Mumbai,257,169,3600,3.5,Medium,Medium,Low,Low
Sodexo,Facility Management Services,Mumbai,158,1200,3600,4.0,Medium,High,Medium,Low
JK Cement,Building Material,New Delhi,330,1,3600,4.0,Medium,Medium,Medium,Medium
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances,Mumbai,166,86,3600,3.9,High,Medium,Medium,Low
Bharat Electronics,Electronics Manufacturing,Bangalore,88,0,3600,4.2,Medium,High,High,Medium
Samvardhana Motherson Group,Auto Components,Noida,94,12,3600,3.7,High,Medium,Low,Low
Cogent E Services,BPO,Noida,56,1,3600,3.2,Medium,Medium,Low,Low
Abbott,Pharma,Mumbai,215,256,3600,4.1,Medium,High,Medium,Low
Aarti Industries,Agro Chemicals,Bharuch,59,15,3500,4.1,High,High,Medium,Low
Ipca Laboratories,Pharma,Mumbai,161,45,3500,3.8,High,High,Medium,Low
Reliance Projects & Property Management Services,Other,Kolkata,619,0,3500,4.0,High,High,Medium,Low
Indian Oil Corporation,Oil & Gas,New Delhi,311,0,3500,4.3,Medium,High,High,Medium
Reliance Digital,Retail,Mumbai,379,1,3500,4.2,High,Medium,Medium,Medium
MRF Tyres,Auto Components,Chennai,194,18,3500,3.6,Medium,Low,Low,Medium
Cloudnine Hospital,Healthcare,Bangalore,47,4,3500,4.4,High,High,Medium,Medium
Alkem Laboratories,Pharma,Mumbai,197,12,3500,3.9,Medium,Medium,Medium,Low
PhonePe,FinTech,Bangalore,394,64,3500,4.1,Medium,High,Medium,Medium
Johnson Controls,Industrial Automation,Pune,58,5,3500,3.5,Medium,Medium,Medium,Low
"NTT DATA, Inc.",IT Services & Consulting,Bangalore,37,76,3400,3.9,High,High,Medium,Low
Honda Motorcycle & Scooter,Automobile,Gurgaon,299,0,3400,4.1,High,High,Medium,Low
IGT Solutions,BPO,New Delhi,48,94,3400,3.2,Medium,Medium,Medium,Low
UNO Minda,Auto Components,Pune,110,14,3400,3.9,High,Medium,Medium,Low
Vishal Mega Mart,Retail,New Delhi,378,5,3400,3.8,Medium,Medium,Medium,Medium
ArcelorMittal Nippon Steel,Iron & Steel,Surat,86,0,3400,4.1,High,High,Medium,Medium
Hindustan Coca Cola Beverages,Beverage,Bangalore,261,42,3400,4.0,Medium,Medium,Medium,Low
24/7 Customer,Software Product,Bangalore,37,68,3400,3.4,Medium,Medium,Low,Low
DTDC Express,Logistics,New Delhi,271,19,3400,3.7,Medium,Medium,Medium,Low
UBS,Financial Services,Pune,20,2,3400,3.8,Medium,High,Medium,Low
Bajaj General Insurance Limited,Insurance,Pune,304,72,3300,3.7,Medium,Low,Low,Low
Ford Motor,Automobile,Chennai,131,1,3300,4.2,Medium,High,Medium,Low
Reliance Nippon Life Insurance,Insurance,Mumbai,483,2,3300,3.4,Low,Medium,Low,Medium
Ceat Tyres,Auto Components,Nagpur,141,5,3300,3.9,High,Medium,Medium,Low
Blinkit,Internet,Gurgaon,146,0,3300,3.8,Low,Medium,Medium,Low
ABB,Industrial Machinery,Bangalore,108,1,3300,4.1,High,High,Medium,Low
RSPL Group,FMCG,Kanpur,256,26,3300,4.1,High,High,Medium,Low
HARMAN,Consumer Electronics & Appliances,Bangalore,43,114,3300,3.8,Medium,High,Medium,Low
Barclays,Banking,Pune,37,0,3300,3.7,Medium,Medium,Low,Low
AGS Health,Analytics & KPO,Chennai,64,37,3300,4.0,High,High,Medium,Low
NatWest Group,Banking,Gurgaon,30,95,3300,4.0,High,High,Medium,Low
TVS Credit Services Ltd,NBFC,Chennai,427,21,3200,4.2,Medium,High,Medium,Medium
InterGlobe Aviation,Aviation,New Delhi,105,87,3200,3.5,Medium,Low,Medium,Low
Niva Bupa Health Insurance Company,Insurance,New Delhi,320,102,3200,4.1,High,High,Medium,Medium
Indian Air Force,Defence & Aerospace,New Delhi,135,0,3200,4.5,High,Medium,Medium,Medium
Conduent,BPO,Bangalore,36,467,3200,3.4,Medium,Medium,Medium,Low
Croma,Retail,Mumbai,193,27,3200,3.8,High,High,Medium,Low
Alstom Transportation,Engineering & Construction,Bangalore,81,366,3200,3.7,High,Medium,Low,Low
Tata Technologies,Engineering & Construction,Pune,56,121,3200,3.4,Medium,Medium,Low,Low
GeBBS Healthcare Solutions,BPO,Mumbai,26,77,3200,3.7,High,Medium,Medium,Low
Allcargo Logistics,Logistics,Mumbai,176,19,3200,3.8,Medium,Medium,Medium,Low
Tata AIG,Insurance,Mumbai,261,82,3200,4.0,High,High,Medium,Low
Marpu Foundation,Non-Profit,Hyderabad,62,0,3100,4.9,Medium,High,High,Medium
Max Healthcare,Healthcare,New Delhi,79,103,3100,3.9,High,Medium,Medium,Low
UPL,Agro Chemicals,Ankleshwar,187,48,3100,4.1,High,High,Medium,Medium
Amazon Transportation Services,Logistics,Hyderabad,229,1,3100,4.2,Medium,Medium,Medium,Medium
PepsiCo,Food Processing,Hyderabad,276,390,3100,4.1,Medium,High,High,Low
Titan Company,Retail,Bangalore,185,79,3100,4.2,High,High,Medium,Low
Dilip Buildcon,Engineering & Construction,Bhopal,226,20,3100,3.9,Low,Medium,Medium,Low
Walmart,Retail,Bangalore,93,214,3100,3.4,Low,Medium,Low,Low
Mankind Pharma,Pharma,New Delhi,248,11,3100,3.8,Medium,Medium,Medium,Medium
Varroc Group,Auto Components,Pune,63,63,3100,3.6,Low,Medium,Medium,Low
S&P Global,Analytics & KPO,Hyderabad,48,213,3100,4.0,Medium,High,Medium,Low
Future Group,Retail,Mumbai,208,0,3000,4.2,Medium,High,Medium,Medium
Jindal Stainless,Iron & Steel,Jajpur,79,9,3000,4.1,High,High,Medium,Medium
MSN Laboratories,Pharma,Hyderabad,106,44,3000,3.6,High,Low,Low,Medium
Afcons Infrastructure,Engineering & Construction,Mumbai,123,33,3000,4.2,High,Medium,Medium,Medium
Societe Generale Global Solution Centre,IT Services & Consulting,Bangalore,25,122,3000,3.6,High,High,Low,Low
Torrent Pharmaceuticals,Pharma,Ahmedabad,130,24,3000,4.0,High,High,Medium,Low
Quest Global,IT Services & Consulting,Bangalore,50,149,3000,3.5,Medium,Medium,Low,Low
Square Yards,Internet,Gurgaon,52,59,3000,3.6,Low,Low,Low,Medium
IDFC FIRST Bharat,Financial Services,Chennai,425,1,3000,4.2,Medium,High,Medium,Medium
CMS IT Services,IT Services & Consulting,Mumbai,153,50,2900,3.1,Medium,Medium,Medium,Low
ACC,Building Material,Mumbai,275,2,2900,3.9,Low,Medium,Medium,Low
HDFC Sales,Financial Services,Mumbai,346,7,2900,3.9,Medium,High,Medium,Low
I Process Services,Recruitment,Mumbai,406,1,2900,3.8,Medium,High,Medium,Low
Zensar Technologies,IT Services & Consulting,Pune,29,320,2900,3.7,Low,High,Medium,Low
ESAF Small Finance Bank,Banking,Thrissur,442,37,2900,3.6,Medium,Medium,Low,Low
Suzlon Group,Power,Pune,143,22,2900,4.0,High,Medium,Medium,Low
DS Group,FMCG,Noida,280,53,2900,4.1,High,High,Medium,Low
Sagility,BPO,Bangalore,28,89,2900,3.9,High,High,Medium,Low
Shoppers Stop,Retail,Mumbai,83,40,2900,4.0,High,High,Medium,Low
Tata Elxsi,IT Services & Consulting,Bangalore,31,44,2900,3.5,Medium,Medium,Low,Low
Eternal Limited,Internet,Gurgaon,220,11,2900,3.7,Low,Low,Medium,Low
Ola Electric Mobility,Automobile,Bangalore,423,0,2900,3.3,Low,Medium,Medium,Low
Fujitsu,IT Services & Consulting,Pune,42,130,2900,3.8,Medium,High,Medium,Low
VVDN Technologies,IT Services & Consulting,Gurgaon,50,18,2900,3.6,Medium,Medium,Medium,Low
Nokia,Telecom,Bangalore,167,84,2800,4.0,Medium,High,High,Low
Bharat Financial Inclusion,Financial Services,Hyderabad,497,1,2800,3.7,Medium,Medium,Low,Low
Indus Towers,Telecom,Gurgaon,241,24,2800,3.6,Low,Low,Medium,Low
Apollo Tyres,Auto Components,Chennai,182,0,2800,4.0,High,High,Medium,Low
Yazaki,Auto Components,Pune,94,4,2800,3.9,High,Medium,Medium,Low
IKS Health,Healthcare,Mumbai,32,26,2800,3.6,Medium,Medium,Low,Low
Fiserv,FinTech,Pune,33,5,2800,2.9,Medium,Medium,Low,Low
UnitedHealth,Healthcare,Hyderabad,18,0,2800,4.0,High,High,Medium,Low
