Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Highly Rated,Critically Rated
Larsen & Toubro Limited,Engineering & Construction ,Chennai,760.0,190,23.2k,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
Deloitte,Management Consulting ,Hyderabad,188.0,1.7k,22.4k,3.7,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Kotak Mahindra Bank,Banking ,Mumbai,684.0,107,21.9k,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Reliance Industries,Oil & Gas ,Jamnagar,814.0,49,19.7k,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Vodafone Idea,Telecom ,Pune,704.0,43,17.5k,3.9,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
Bharti Airtel,Telecom ,Gurgaon,789.0,140,16.8k,3.8,,Promotions / Appraisal
BYJU'S,EdTech ,Bangalore,322.0,--,16.4k,3.2,,"Job Security, Work Life Balance, Company Culture"
WNS,IT Services & Consulting ,Pune,66.0,100,14.8k,3.3,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
IDFC FIRST Bank,Banking ,Mumbai,715.0,26,14k,3.9,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Tata Motors,Automobile ,Pune,507.0,183,14k,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Ernst & Young,Management Consulting ,Bangalore,134.0,3.7k,14k,3.4,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
IndusInd Bank,Banking ,Mumbai,789.0,116,13.8k,3.4,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
AU Small Finance Bank,Banking ,Jaipur,786.0,51,13.8k,3.9,"Skill Development / Learning, Salary & Benefits",
Bajaj Finserv,NBFC ,Pune,1168.0,7,12.6k,3.9,"Salary & Benefits, Skill Development / Learning, Job Security",
Flipkart,Internet ,Bangalore,558.0,173,12.6k,3.9,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Muthoot FinCorp,NBFC ,Bangalore,1099.0,49,12.3k,4.5,"Company Culture, Work Life Balance, Job Security",
PwC,Management Consulting ,Bangalore,133.0,828,12k,3.3,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Mahindra & Mahindra,Automobile ,Pune,562.0,1,11.8k,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
DXC Technology,IT Services & Consulting ,Bangalore,133.0,206,11.8k,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Infosys BPM,BPO ,Bangalore,96.0,80,11.7k,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDFC Life,Insurance ,Mumbai,701.0,132,11.7k,3.9,"Job Security, Skill Development / Learning",
Bandhan Bank,Banking ,Kolkata,998.0,14,10.7k,3.7,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Conneqt Business Solutions,BPO ,Hyderabad,267.0,350,10.1k,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mphasis,IT Services & Consulting ,Bangalore,64.0,54,10k,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yes Bank,Banking ,Mumbai,539.0,142,9.9k,3.6,,"Job Security, Promotions / Appraisal, Company Culture"
Tata Steel,Iron & Steel ,Jamshedpur,230.0,--,9.7k,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Quess,Recruitment ,Bangalore,742.0,25,9.5k,3.8,,"Promotions / Appraisal, Job Security"
Maruti Suzuki,Automobile ,Gurgaon,452.0,713,9.4k,4.2,"Job Security, Salary & Benefits, Company Culture",
Asian Paints,Chemicals ,Mumbai,550.0,65,9.3k,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal
Startek,BPO ,Bangalore,106.0,123,9.3k,3.1,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
UltraTech Cement,Building Material ,Mumbai,535.0,33,9.2k,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Paytm,FinTech ,Noida,419.0,387,9.2k,3.2,,"Job Security, Promotions / Appraisal, Company Culture"
Shriram Finance,NBFC ,Chennai,1112.0,5,8.9k,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Bajaj Finance,NBFC ,Pune,972.0,7.1k,8.9k,3.9,"Salary & Benefits, Skill Development / Learning, Job Security",
Equitas Small Finance Bank,Banking ,Chennai,481.0,22,8.7k,4.4,"Company Culture, Work Life Balance, Job Security",
Sutherland Global Services,BPO ,Chennai,82.0,190,8.7k,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
EXL Service,Analytics & KPO ,Noida,63.0,1.5k,8.4k,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Cipla,Pharma ,Mumbai,293.0,63,8.4k,4.1,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Ericsson,Telecom ,Noida,164.0,86,8.3k,3.9,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Wells Fargo,Financial Services ,Bangalore,28.0,147,8.3k,3.7,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Samsung,Consumer Electronics & Appliances ,Noida,582.0,19,8.3k,3.9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Dr. Reddy's,Pharma ,Hyderabad,216.0,11,8.1k,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Optum Global Solutions,IT Services & Consulting ,Hyderabad,69.0,126,7.7k,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Delhivery,Logistics ,Gurgaon,755.0,192,7.6k,3.8,,Promotions / Appraisal
ICICI Prudential Life Insurance,Insurance ,Mumbai,506.0,633,7.6k,4.0,"Job Security, Salary & Benefits, Skill Development / Learning",
JSW Steel,Iron & Steel ,Ballari,194.0,112,7.6k,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal
JPMorgan Chase & Co.,Financial Services ,Bangalore,56.0,771,7.6k,3.8,Job Security,Promotions / Appraisal
HGS,BPO ,Bangalore,122.0,19,7.5k,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits"
Jana Small Finance Bank,Banking ,Bangalore,419.0,36,7.5k,3.8,Salary & Benefits,Promotions / Appraisal
Ujjivan Small Finance Bank,Banking ,Bangalore,534.0,210,7.4k,4.0,"Company Culture, Work Life Balance, Job Security",
Sun Pharmaceutical Industries,Pharma ,Vadodara,266.0,336,7.4k,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",
Hexaware Technologies,IT Services & Consulting ,Chennai,70.0,665,7.4k,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amazon Development Centre India,Internet ,Hyderabad,147.0,8,7.4k,3.8,"Company Culture, Work Life Balance",Promotions / Appraisal
Lupin,Pharma ,Pune,202.0,36,7.2k,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
L&T Construction,Engineering & Construction ,Chennai,434.0,--,7.2k,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Ekart Logistics,Logistics ,Bangalore,742.0,--,7.2k,3.9,Skill Development / Learning,Promotions / Appraisal
Zydus Lifesciences,Pharma ,Ahmedabad,177.0,29,7.2k,3.9,"Salary & Benefits, Skill Development / Learning",
Hindustan Unilever,FMCG ,Mumbai,534.0,43,7.1k,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
KPMG India,Management Consulting ,Bangalore,113.0,65,7k,3.4,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
ITC,FMCG ,Bangalore,377.0,74,7k,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal
Axis Max Life Insurance,Insurance ,New Delhi,496.0,129,6.9k,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",
Megha Engineering & Infrastructures,Engineering & Construction ,Hyderabad,407.0,40,6.8k,3.9,,Promotions / Appraisal
Tata Projects,Engineering & Construction ,Mumbai,287.0,22,6.7k,4.2,"Salary & Benefits, Company Culture, Work Life Balance",
Coforge,IT Services & Consulting ,Noida,104.0,123,6.5k,3.2,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
FIS,FinTech ,Pune,62.0,122,6.4k,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal
Bajaj Life Insurance,Insurance ,Pune,610.0,57,6.4k,3.9,Salary & Benefits,
L&T Technology Services,IT Services & Consulting ,Bangalore,94.0,--,6.4k,3.1,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cholamandalam Investment & Finance,Financial Services ,Chennai,844.0,16,6.4k,3.8,Salary & Benefits,Promotions / Appraisal
IIFL Finance,NBFC ,Mumbai,803.0,70,6.2k,4.0,"Work Life Balance, Company Culture, Job Security",
Oracle,Software Product ,Bangalore,57.0,1k,6.2k,3.5,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Muthoot Finance,NBFC ,Bangalore,785.0,87,6.2k,3.7,,"Promotions / Appraisal, Work Satisfaction"
Indian Army,Defence & Aerospace ,New Delhi,365.0,--,6.2k,4.7,"Job Security, Company Culture, Work Life Balance",
Omega Healthcare,BPO ,Chennai,70.0,103,6.2k,3.8,,"Promotions / Appraisal, Salary & Benefits"
JLL,Real Estate ,Gurgaon,85.0,221,6.2k,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
eClerx,IT Services & Consulting ,Pune,33.0,197,6.1k,3.1,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HCL Group,IT Services & Consulting ,Chennai,98.0,--,6.1k,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Piramal Finance,NBFC ,Mumbai,424.0,6,6k,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",
Virtusa Consulting Services,IT Services & Consulting ,Hyderabad,56.0,1.4k,6k,3.7,,"Promotions / Appraisal, Work Satisfaction, Job Security"
DMart,Retail ,Mumbai,248.0,205,5.9k,3.9,"Job Security, Company Culture",Promotions / Appraisal
Indiamart Intermesh,Internet ,Noida,174.0,552,5.8k,3.5,,"Work Satisfaction, Promotions / Appraisal, Company Culture"
HSBC Group,Financial Services ,Bangalore,64.0,132,5.8k,3.9,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
SMFG India Credit,NBFC ,Mumbai,596.0,76,5.8k,3.9,Salary & Benefits,Promotions / Appraisal
Udaan,Internet ,Bangalore,369.0,5,5.7k,3.9,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
Aurobindo Pharma,Pharma ,Hyderabad,116.0,13,5.7k,4.0,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Access Healthcare,BPO ,Chennai,65.0,552,5.7k,3.7,Job Security,"Promotions / Appraisal, Skill Development / Learning"
Siemens,Industrial Automation ,Bangalore,153.0,802,5.7k,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
BigBasket,Internet ,Bangalore,141.0,85,5.7k,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal
PolicyBazaar,Internet ,Gurgaon,150.0,474,5.6k,3.7,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Manappuram Finance,NBFC ,Bangalore,651.0,3,5.6k,3.9,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",
ICICI Lombard General Insurance Company,Insurance ,Mumbai,314.0,183,5.6k,3.5,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Tata Capital,NBFC ,Mumbai,440.0,3.4k,5.6k,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Firstsource Solutions,BPO ,Bangalore,75.0,138,5.6k,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Shapoorji Pallonji Group,Engineering & Construction ,Mumbai,190.0,79,5.6k,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
GlobalLogic,IT Services & Consulting ,Hyderabad,61.0,47,5.6k,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Standard Chartered,Banking ,Chennai,69.0,--,5.6k,3.6,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Mahindra Finance,NBFC ,Mumbai,731.0,435,5.5k,3.9,,Promotions / Appraisal
Apollo Hospitals,Healthcare ,Chennai,230.0,148,5.5k,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Bosch Global Software Technologies,IT Services & Consulting ,Bangalore,48.0,21,5.5k,3.7,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
UST,IT Services & Consulting ,Bangalore,52.0,131,5.5k,3.7,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
Ashok Leyland,Automobile ,Chennai,261.0,--,5.5k,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Swiggy,Internet ,Bangalore,230.0,253,5.4k,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Citicorp,Financial Services ,Pune,69.0,--,5.4k,3.7,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Hero MotoCorp,Automobile ,Gurgaon,366.0,2,5.3k,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
CGI Group,IT Services & Consulting ,Bangalore,44.0,674,5.3k,4.0,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
Cyient,IT Services & Consulting ,Hyderabad,49.0,79,5.3k,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
SBI Cards & Payment Services,Financial Services ,Gurgaon,437.0,98,5.2k,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Kalpataru Projects International,Engineering & Construction ,Mumbai,322.0,1,5.1k,4.2,"Job Security, Skill Development / Learning, Salary & Benefits",
BNY,Financial Services ,Pune,26.0,2,5.1k,3.6,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
JustDial,Internet ,Noida,230.0,53,5.1k,3.5,,"Promotions / Appraisal, Work Satisfaction, Job Security"
IQVIA,Clinical Research ,Bangalore,66.0,25,5.1k,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits"
NTT Data,IT Services & Consulting ,Bangalore,81.0,190,5k,3.8,Work Life Balance,Promotions / Appraisal
Nagarjuna Construction Company,Engineering & Construction ,Hyderabad,297.0,11,5k,4.0,"Job Security, Company Culture, Work Life Balance",
SBI Life Insurance Company,Insurance ,Mumbai,657.0,8,5k,3.7,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
CBRE,Real Estate ,Hyderabad,92.0,24,5k,4.1,"Company Culture, Work Life Balance, Job Security",
TVS Motor,Automobile ,Hosur,350.0,70,5k,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Schneider Electric,Industrial Automation ,Bangalore,120.0,25,5k,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Persistent Systems,IT Services & Consulting ,Pune,42.0,248,4.9k,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction"
State Bank of India,Banking ,Mumbai,619.0,15,4.9k,3.8,"Job Security, Salary & Benefits",
vivo,Consumer Electronics & Appliances ,Noida,415.0,11,4.9k,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Atos,IT Services & Consulting ,Pune,50.0,90,4.9k,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Ecom Express,Logistics ,Gurgaon,776.0,--,4.8k,4.0,"Company Culture, Work Life Balance, Work Satisfaction",
KEC International,Engineering & Construction ,Mumbai,315.0,9,4.8k,4.0,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Eviden,IT Services & Consulting ,Pune,40.0,8,4.8k,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amdocs,Software Product ,Pune,24.0,11,4.7k,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction"
JBM Group,Auto Components ,Gurgaon,118.0,43,4.7k,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal
Varun Beverages,Beverage ,New Delhi,380.0,30,4.7k,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Nagarro,IT Services & Consulting ,Gurgaon,50.0,923,4.7k,3.9,"Company Culture, Work Life Balance",Promotions / Appraisal
ITC Infotech,IT Services & Consulting ,Bangalore,68.0,71,4.7k,3.7,"Work Life Balance, Job Security",Promotions / Appraisal
Home Credit Finance,NBFC ,Gurgaon,137.0,83,4.6k,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",
Bosch,Auto Components ,Bangalore,132.0,--,4.6k,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
EY Global Delivery Services ( EY GDS),IT Services & Consulting ,Bangalore,57.0,10,4.5k,3.5,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Randstad,Recruitment ,Hyderabad,354.0,8,4.5k,3.7,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Hewlett Packard Enterprise,IT Services & Consulting ,Bangalore,105.0,231,4.5k,4.1,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Utkarsh Small Finance Bank,Banking ,Varanasi,409.0,22,4.5k,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Aditya Birla Fashion and Retail,Fashion & Textile ,Bangalore,292.0,75,4.5k,4.1,"Job Security, Skill Development / Learning, Company Culture",
Mahindra Logistics,Logistics ,Mumbai,234.0,--,4.5k,3.7,,"Promotions / Appraisal, Salary & Benefits"
L&T Finance,NBFC ,Mumbai,635.0,--,4.5k,3.9,"Salary & Benefits, Job Security",Promotions / Appraisal
CARS24,Internet ,Gurgaon,173.0,109,4.5k,3.4,,"Job Security, Promotions / Appraisal, Company Culture"
Dell,Consumer Electronics & Appliances ,Bangalore,118.0,17,4.5k,3.8,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
OPPO,Consumer Electronics & Appliances ,Greater Noida,411.0,6,4.5k,3.9,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Havells,Electrical Equipment ,Noida,262.0,33,4.5k,3.9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Intas Pharmaceuticals,Pharma ,Ahmedabad,149.0,57,4.4k,4.1,"Job Security, Salary & Benefits, Work Life Balance",
R1 RCM,BPO ,New Delhi,47.0,164,4.4k,3.8,Job Security,Promotions / Appraisal
Tata AIA Life Insurance,Insurance ,Mumbai,442.0,638,4.4k,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",
Hyundai Motor India Limited,Automobile ,Chennai,288.0,4,4.4k,4.1,"Job Security, Salary & Benefits, Company Culture",
Deutsche Bank,Banking ,Pune,43.0,371,4.3k,3.8,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Hetero,Pharma ,Hyderabad,69.0,142,4.3k,3.9,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Motilal Oswal Financial Services,Financial Services ,Mumbai,169.0,42,4.3k,3.7,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Berger Paints,Chemicals ,Kolkata,355.0,122,4.3k,3.7,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Team Lease,Recruitment ,Bangalore,400.0,2,4.3k,3.9,Work Life Balance,Promotions / Appraisal
VE Commercial Vehicles,Automobile ,Indore,180.0,5,4.2k,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Lenskart,Internet ,New Delhi,240.0,116,4.2k,3.3,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Thermax Limited,Industrial Machinery ,Pune,253.0,84,4.2k,4.2,"Job Security, Company Culture, Skill Development / Learning",
Bajaj Auto,Automobile ,Pune,320.0,--,4.1k,3.8,,Promotions / Appraisal
Macleods Pharmaceuticals,Pharma ,Mumbai,135.0,6,4.1k,3.7,Job Security,"Promotions / Appraisal, Company Culture"
Kogta Financial India Limited,NBFC ,Jaipur,260.0,112,4.1k,4.7,"Company Culture, Work Life Balance, Work Satisfaction",
Aakash Educational Services,Education & Training ,New Delhi,245.0,64,4.1k,3.2,,"Promotions / Appraisal, Work Life Balance, Job Security"
Jubilant Foods Works,Hospitality ,New Delhi,263.0,200,4.1k,3.7,,Promotions / Appraisal
LG Electronics,Consumer Electronics & Appliances ,Pune,299.0,--,4.1k,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal
Royal Enfield,Automobile ,Chennai,373.0,17,4k,4.2,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Hindalco Industries,Metals & Mining ,Sambalpur,129.0,10,4k,4.2,"Job Security, Work Life Balance, Skill Development / Learning",
Jindal Steel Limited,Iron & Steel ,Angul,175.0,27,4k,3.9,Skill Development / Learning,Promotions / Appraisal
John Deere,Industrial Machinery ,Pune,157.0,1,4k,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Tata Communications,Telecom ,Pune,103.0,215,4k,3.9,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
DCB Bank,Banking ,Mumbai,343.0,7,4k,3.8,Work Life Balance,Promotions / Appraisal
HDFC Ergo General Insurance,Insurance ,Mumbai,327.0,10,4k,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
State Street Corporation,Financial Services ,Bangalore,36.0,8,4k,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
RBL Bank,Banking ,Mumbai,285.0,53,3.9k,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Cummins,Industrial Machinery ,Pune,116.0,9,3.9k,4.3,"Company Culture, Work Life Balance, Work Satisfaction",
Oyo Rooms,Internet ,Gurgaon,123.0,119,3.9k,3.1,,"Job Security, Company Culture, Work Life Balance"
Pidilite Industries,Chemicals ,Mumbai,315.0,3,3.8k,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Alembic Pharmaceuticals,Pharma ,Vadodara,188.0,64,3.8k,3.9,"Salary & Benefits, Work Life Balance",
Bank of America,Banking ,Gurgaon,36.0,--,3.8k,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Reliance Communications,Telecom ,Mumbai,469.0,--,3.8k,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Publicis Sapient,IT Services & Consulting ,Bangalore,47.0,265,3.8k,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Carelon Global Solutions,IT Services & Consulting ,Bangalore,22.0,26,3.8k,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Subros,Auto Components ,Noida,90.0,1,3.8k,3.8,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
American Express,Financial Services ,Gurgaon,54.0,104,3.8k,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Viatris,Pharma ,Hyderabad,81.0,3,3.8k,4.1,"Salary & Benefits, Job Security, Work Life Balance",
XpressBees,Logistics ,Pune,477.0,11,3.8k,4.2,"Company Culture, Work Life Balance, Work Satisfaction",
PVR INOX,Media & Entertainment ,New Delhi,150.0,20,3.8k,3.9,Job Security,Promotions / Appraisal
Automatic Data Processing (ADP),Software Product ,Hyderabad,41.0,44,3.7k,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
PNB MetLife,Insurance ,New Delhi,427.0,5,3.7k,3.4,,"Job Security, Company Culture, Work Satisfaction"
Escorts Kubota Limited,Automobile ,Faridabad,155.0,5,3.7k,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Aditya Birla Sun Life Insurance,Insurance ,Mumbai,489.0,--,3.7k,4.0,"Work Life Balance, Company Culture, Job Security",
Grasim Industries,Building Material ,Bharuch,243.0,4,3.7k,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Kyndryl,IT Services & Consulting ,Bangalore,38.0,29,3.7k,3.9,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Aditya Birla Capital,NBFC ,Mumbai,340.0,3,3.7k,3.8,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Maersk,Logistics ,Chennai,50.0,34,3.7k,4.0,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Altruist Technologies,BPO ,Bangalore,45.0,9,3.7k,4.4,"Company Culture, Work Life Balance, Work Satisfaction",
Synechron,IT Services & Consulting ,Pune,33.0,83,3.6k,3.4,,"Job Security, Promotions / Appraisal, Work Satisfaction"
